tid,stoporder,stopid,onboard,offboard,arrtime,,,,,,,,
12,2,Mercer St & Queen Anne Ave N,2,,11/9/2018 19:40,,,,,,,,
12,3,W Mercer St & 3rd Ave W,1,,11/9/2018 19:42,,,,,,,,
12,4,Elliott Ave W & W Prospect St ,,,11/9/2018 19:44,,,,,,,,
12,5,Elliott Ave W & W Galer St,,,,,,,,,,,
12,6,15th Ave W & W Newton St,1,1,11/9/2018 19:45,,,,,,,,
12,7,15th Ave W & W Wheeler St,,,,,,,,,,,
12,8,15th Ave W & W Armour St,,,,,,,,,,,
12,9,15th Ave W & W Dravus St,,,,,,,,,,,
12,10,W Nickerson St & 12th Ave W,1,2,11/9/2018 19:51,,,,,,,,
12,11,W Nickerson St & Jesse Ave W,,,,,,,,,,,
12,12,W Nickerson St & 8th Ave W,,,,,,,,,,,
12,13,W Nickerson St & 6th Ave W,,,,,,,,,,,
12,14,W Nickerson St & 3rd Ave W,2,1,11/9/2018 19:53,,,,,,,,
12,15,W Nickerson St & Queen Anne Ave N,1,,11/9/2018 19:53,,,,,,,,
12,16,Nickerson St & Warren Ave N,,,,,,,,,,,
12,17,Nickerson St & Florentia St,,,,,,,,,,,
12,18,Fremont Ave N & N 34th St,6,2,11/9/2018 19:57,,,,,,,,
12,19,N 35th St & Troll Ave N,,,,,,,,,,,
12,20,N 35th St & Stone Way N,,,,,,,,,,,
12,21,N 35th St & Carr Pl N,,1,11/9/2018 19:59,,,,,,,,
12,22,Wallingford Ave N & N 35th St,2,,11/9/2018 20:00,,,,,,,,
12,23,Wallingford Ave N & N 37th St,,,,,,,,,,,
12,24,N 40th St & Wallingford Ave N,,1,11/9/2018 20:01,,,,,,,,
12,25,N 40th St & Bagley Ave N,1,,11/9/2018 20:02,,,,,,,,
12,26,N 40th St & Sunnyside Ave N,,,,,,,,,,,
12,27,Ne 40th St & 1st Ave Ne,,2,11/9/2018 20:03,,,,,,,,
12,28,Ne Northlake Way & 7th Ave Ne,3,2,11/9/2018 20:05,,,,,,,,
12,29,Ne Pacific St & Ne Boat St,,,11/9/2018 20:05,,,,,,,,
13,1,Sand Point Way Ne & 40th Ave Ne,9,,,,,,,,,,
13,2,Ne 45th St & 36th Ave Ne,0,,,,,,,,,,
13,3,Ne 45th St & Union Bay Pl Ne,,,,,,,,,,,
13,4,Montlake Blvd Ne & Ne 45th St,10,,11/9/2018 18:42,,,,,,,,
13,5,Stevens Way & Pend Oreille Rd,4,2,11/9/2018 18:47,,,,,,,,
13,6,Stevens Way & Benton Ln,4,,11/9/2018 18:48,,,,,,,,
13,7,Stevens Way & Rainier Vis,2,1,11/9/2018 18:49,,,,,,,,
13,8,Stevens Way & Garfield Ln,5,,11/9/2018 18:50,,,,,,,,
13,9,Grant Ln & Stevens Way,,,,,,,,,,,
13,10,Ne Campus Pkwy & 12th Ave Ne,7,1,11/9/2018 18:55,,,,,,,,
13,11,Ne 40th St & 7th Ave Ne,,1,11/9/2018 18:56,,,,,,,,
13,12,Ne 40th St & Latona Ave Ne,,,,,,,,,,,
13,13,N 40th St & Eastern Ave N,,,,,,,,,,,
13,14,N 40th St & Corliss Ave N,,,,,,,,,,,
13,15,N 40th St & Meridian Ave N,,,,,,,,,,,
13,16,N 40th St & Wallingford Ave N,,2,11/9/2018 18:59,,,,,,,,
13,17,Wallingford Ave N & N 39th St,,,,,,,,,,,
13,18,Wallingford Ave N & N 37th St,,1,11/9/2018 19:00,,,,,,,,
13,19,N 35th St & Wallingford Ave N,2,1,11/9/2018 19:01,,,,,,,,
13,20,N 35th St & Woodlawn Ave N,1,1,11/9/2018 19:02,,,,,,,,
13,21,N 35th St & Stone Way N,1,2,11/9/2018 19:04,,,,,,,,
13,22,N 35th St & Troll Ave N,0,5,11/9/2018 19:05,,,,,,,,
13,23,Fremont Ave N & N 34th St,6,8,11/9/2018 19:07,,,,,,,,
13,24,Nickerson St & 3rd Ave N,,,,,,,,,,,
13,25,Nickerson St & Warren Ave N,,,,,,,,,,,
13,26,Nickerson St & Cremona St,,,,,,,,,,,
13,27,W Nickerson St & 3rd Ave W,,4,11/9/2018 19:11,,,,,,,,
13,28,W Nickerson St & 6th Ave W,,,,,,,,,,,
13,29,W Nickerson St & 8th Ave W,,,,,,,,,,,
13,30,W Nickerson St & Jesse Ave W,,1,11/9/2018 19:12,,,,,,,,
13,31,W Nickerson St & 11th Ave W,,,,,,,,,,,
13,32,15th Ave W & W Dravus St,,2,11/9/2018 19:16,,,,,,,,
13,33,15th Ave W & W Armour St,,2,11/9/2018 19:16,,,,,,,,
13,34,15th Ave W & W Wheeler St,,,,,,,,,,,
13,35,15th Ave W & W Armory Way,1,,11/9/2018 19:18,,,,,,,,
13,36,Elliott Ave W & W Galer St,,1,11/9/2018 19:20,,,,,,,,
13,37,Elliott Ave W & W Prospect St,,,,,,,,,,,
13,38,W Mercer St & 3rd Ave W,,1,11/9/2018 19:23,,,,,,,,
13,39,Queen Anne Ave N & W Mercer St,,6,11/9/2018 19:25,,,,,,,,
13,40,Queen Anne Ave N & W Harrison St,,,11/9/2018 19:26,,,,,,,,
