ts;sensorid;series;mac;devicetype;label;intensity
2018-03-06 07:42:06.984512;bus_m1;43;b8:27:eb:64:2c:fc;wifi;mobile;-31
2018-03-06 07:42:07.003129;bus_m1;43;b8:27:eb:64:2c:fc;wifi;mobile;-31
2018-03-06 07:42:07.005725;bus_m1;43;b8:27:eb:64:2c:fc;wifi;mobile;-29
2018-03-06 07:42:11.859646;bus_m1;43;d6:83:ce:f4:41:ad;wifi;mobile;-53
2018-03-06 07:42:14.154708;bus_m1;43;a8:b8:6e:ed:8b:4c;wifi;mobile;-75
2018-03-06 07:42:15.156643;bus_m1;43;00:fc:8b:04:71:12;wifi;mobile;-41
2018-03-06 07:42:15.172199;bus_m1;43;a8:b8:6e:0e:49:cc;wifi;mobile;-67
2018-03-06 07:42:16.084649;bus_m1;43;a8:b8:6e:bc:94:fe;wifi;mobile;-77
2018-03-06 07:42:20.950655;bus_m1;43;a8:b8:6e:b0:eb:6d;wifi;mobile;-69
2018-03-06 07:42:21.285408;bus_m1;43;18:65:90:d6:29:6b;wifi;mobile;-67
2018-03-06 07:42:21.942899;bus_m1;43;a8:b8:6e:76:c5:0a;wifi;mobile;-67
2018-03-06 07:42:23.465493;bus_m1;43;da:a1:19:2f:41:a2;wifi;mobile;-61
2018-03-06 07:42:23.858037;bus_m1;43;a8:b8:6e:08:82:ec;wifi;mobile;-77
2018-03-06 07:42:24.768261;bus_m1;43;18:65:90:d6:29:6b;wifi;mobile;-69
2018-03-06 07:42:24.817862;bus_m1;43;a8:b8:6e:b3:31:3a;wifi;mobile;-75
2018-03-06 07:42:28.887974;bus_m1;43;da:a1:19:6c:b0:64;wifi;mobile;-59
2018-03-06 07:42:28.962394;bus_m1;43;da:a1:19:ea:9c:87;wifi;mobile;-55
2018-03-06 07:42:28.990069;bus_m1;43;da:a1:19:ea:9c:87;wifi;mobile;-55
2018-03-06 07:42:29.510148;bus_m1;43;7e:ec:5a:89:89:0e;wifi;mobile;-53
2018-03-06 07:42:30.035398;bus_m1;43;b8:1d:aa:d3:9b:00;wifi;mobile;-77
2018-03-06 07:42:32.29327;bus_m1;43;00:80:92:b1:15:b6;wifi;mobile;-91
2018-03-06 07:42:34.468312;bus_m1;43;a8:b8:6e:6d:ed:0e;wifi;mobile;-75
2018-03-06 07:42:34.529857;bus_m1;43;00:fc:8b:04:71:12;wifi;mobile;-39
2018-03-06 07:42:35.341955;bus_m1;43;b8:27:eb:64:2c:fc;wifi;mobile;-27
2018-03-06 07:42:35.36233;bus_m1;43;b8:27:eb:64:2c:fc;wifi;mobile;-27
2018-03-06 07:42:35.395352;bus_m1;43;a8:b8:6e:73:c4:a2;wifi;mobile;-67
2018-03-06 07:42:42.649743;bus_m1;43;f4:5c:89:ba:3e:1f;wifi;mobile;-81
2018-03-06 07:42:42.657238;bus_m1;43;f4:5c:89:ba:3e:1f;wifi;mobile;-87
2018-03-06 07:42:42.674607;bus_m1;43;f4:5c:89:ba:3e:1f;wifi;mobile;-79
2018-03-06 07:42:42.684619;bus_m1;43;f4:5c:89:ba:3e:1f;wifi;mobile;-81
